Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_711.jpg;4.621236;0;0;1.095821;103.6697;173.9472;0.04958181;294.3303;0.7151887
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_780.jpg;1.508109;0;0;1.09154;103.6981;173.8879;0.07086166;294.5692;0.6094276
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_843.jpg;0;0.09325691;0;1.08767;103.7345;173.8087;0.08054486;294.6022;0.4355857
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_911.jpg;0;0.2926141;0;1.087574;103.7619;173.749;0.09278281;294.5984;0.3074736
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_56_977.jpg;0;0.4942478;0;1.103111;103.7899;173.688;0.132699;294.6013;0.1847373
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_044.jpg;0;0.2944167;0;1.126897;103.8282;173.6048;0.2226647;294.6077;0.03258245
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_111.jpg;0;0.2961642;0;1.131012;103.8572;173.5417;0.2944934;294.5966;359.9295
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_177.jpg;0;0.296673;0;1.142449;103.8865;173.4781;0.3695738;294.6126;359.837
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_246.jpg;0;0.4959276;0;1.161441;103.9263;173.3925;0.4499098;294.6272;359.7638
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_314.jpg;0;0.7020677;0;1.18047;103.957;173.3264;0.527683;294.634;359.7323
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_380.jpg;0;0.9006051;0;1.22625;103.9889;173.258;0.634975;294.6438;359.7226
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_448.jpg;0;1;0;1.270201;104.0335;173.1621;0.8361834;294.6581;359.7437
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_514.jpg;0;1;0;1.316245;104.0686;173.0869;1.014045;294.6787;359.7908
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_580.jpg;0;1;0;1.377944;104.1052;173.0097;1.171259;294.6958;359.8936
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_647.jpg;0;1;0;1.425116;104.1541;172.9034;1.300392;294.6835;0.02257793
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_714.jpg;-2.000437;1;0;1.472096;104.1896;172.8216;1.284684;294.5781;-6.938656E-07
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_781.jpg;-2.023816;1;0;1.537239;104.2382;172.7087;1.236096;294.1888;0.001160228
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_848.jpg;-6.053463;1;0;1.584486;104.2749;172.6199;1.247173;293.7176;0.001580896
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_914.jpg;-2.025022;1;0;1.642881;104.3124;172.5284;1.256924;293.2781;0.001300797
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_57_982.jpg;0;1;0;1.689779;104.3651;172.403;1.270798;293.1548;-0.0007897482
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_048.jpg;0;1;0;1.735259;104.4061;172.3061;1.27424;293.1348;-0.001007488
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_114.jpg;0;1;0;1.796955;104.4481;172.2067;1.276288;293.1244;-0.001050082
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_181.jpg;0;1;0;1.842435;104.4911;172.1048;1.281004;293.113;-0.001058143
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_248.jpg;0;1;0;1.887785;104.5501;171.9649;1.288664;293.0974;-0.001069302
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_314.jpg;0;1;0;1.948222;104.5956;171.8571;1.291076;293.0858;-0.001093855
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_381.jpg;0;1;0;1.992407;104.6578;171.7095;1.298552;293.0708;-0.001124362
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_448.jpg;0;1;0;2.037285;104.7057;171.5959;1.30107;293.0597;-0.001148488
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_514.jpg;0;1;0;2.097361;104.7538;171.4795;1.300891;292.9191;-0.0003575031
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_581.jpg;0;1;0;2.141521;104.82;171.3206;1.308667;292.8677;-0.00109856
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_648.jpg;0;1;0;2.185913;104.8709;171.1986;1.314152;292.8516;-0.001215827
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_715.jpg;0;1;0;2.244804;104.9227;171.0742;1.314177;292.8398;-0.001231759
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_777.jpg;0;1;0;2.288574;104.9756;170.9473;1.319873;292.8282;-0.00122493
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_848.jpg;0;1;0;2.332505;105.0475;170.7744;1.320277;292.8128;-0.001257222
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_914.jpg;0;1;0;2.390444;105.1026;170.6418;1.325933;292.8013;-0.001250793
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_58_982.jpg;0;1;0;2.433763;105.1776;170.4613;1.329747;292.7867;-0.001247539
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_048.jpg;0;1;0;2.477239;105.235;170.3232;1.33096;292.7744;-0.001284209
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_115.jpg;0;1;0;2.534562;105.2933;170.1826;1.33459;292.7628;-0.001326937
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_181.jpg;0;1;0;2.577398;105.3726;169.9914;1.341488;292.7475;-0.001344288
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_248.jpg;0;1;0;2.620114;105.4332;169.8452;1.34666;292.7362;-0.001351283
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_314.jpg;0;1;0;2.676882;105.4947;169.6967;1.350707;292.725;-0.001392385
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_382.jpg;0;1;0;2.719306;105.5782;169.495;1.353485;292.7102;-0.00139735
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_448.jpg;0;1;0;2.761586;105.6419;169.341;1.353658;292.6988;-0.001423237
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_514.jpg;0;1;0;2.81771;105.7065;169.1847;1.352746;292.6871;-0.00137293
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_581.jpg;0;1;0;2.860077;105.7941;168.9725;1.360726;292.6697;-0.001432903
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_648.jpg;0;1;0;2.901105;105.8609;168.8106;1.365212;292.6567;-0.00143891
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_714.jpg;0;1;0;2.956643;105.9286;168.6465;1.366123;292.6445;-0.001469121
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_782.jpg;0;1;0;2.998117;106.0203;168.4241;1.370044;292.6277;-0.001346172
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_849.jpg;0;1;0;3.039153;106.0901;168.2546;1.372838;292.6135;-0.001504514
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_915.jpg;0;1;0;3.094067;106.1608;168.0827;1.375532;292.6016;-0.001024423
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_59_981.jpg;0;1;0;3.134793;106.2565;167.8501;1.379417;292.5812;-0.001496672
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_044.jpg;0;1;0;3.175694;106.3292;167.673;1.380534;292.569;-0.001050927
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_116.jpg;0;1;0;3.216134;106.4029;167.4936;1.382419;292.5528;-0.001521921
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_182.jpg;0;1;0;3.269962;106.5025;167.2508;1.389597;292.5323;-0.00156468
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_248.jpg;0;1;0;3.310428;106.5782;167.0661;1.393863;292.5176;-0.001477839
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_315.jpg;0;0.7998949;0;3.361113;106.6547;166.8794;1.391187;292.5038;-0.00109873
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_382.jpg;0;0.5988071;0;3.388703;106.7574;166.6283;1.382205;292.4786;-0.0009289625
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_450.jpg;0;0.3995493;0;3.407299;106.8347;166.4392;1.353567;292.4567;-0.0008296458
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_514.jpg;0;0.2024771;0;3.417247;106.9118;166.2503;1.29218;292.4344;-0.0007656828
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_582.jpg;0;0;0;3.414211;107.014;165.9998;1.144036;292.4056;-0.0006144392
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_55_00_648.jpg;0;0;0;3.404049;107.09;165.8133;0.984243;292.3853;-0.0003591315
